I1202 18:37:00.877570 140518490601280 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Ant-v2/sac/1/agent_partial_target...
I1202 18:37:00.882940 140518490601280 collect_data.py:133] Testing policy p1_ours_eps...
I1202 18:37:21.630559 140518490601280 collect_data.py:137] Return mean 740, std 530.1.
I1202 18:37:21.630764 140518490601280 collect_data.py:138] Collecting data from policy p1_ours_eps...
I1202 18:37:47.654835 140518490601280 collect_data.py:98] (10000/500000) steps collected at 384.3 steps/s.
I1202 18:38:12.805421 140518490601280 collect_data.py:98] (20000/500000) steps collected at 397.6 steps/s.
I1202 18:38:38.809048 140518490601280 collect_data.py:98] (30000/500000) steps collected at 384.6 steps/s.
I1202 18:39:04.764398 140518490601280 collect_data.py:98] (40000/500000) steps collected at 385.3 steps/s.
I1202 18:39:30.560359 140518490601280 collect_data.py:98] (50000/500000) steps collected at 387.7 steps/s.
I1202 18:39:57.824762 140518490601280 collect_data.py:98] (60000/500000) steps collected at 366.8 steps/s.
I1202 18:40:24.106020 140518490601280 collect_data.py:98] (70000/500000) steps collected at 380.5 steps/s.
I1202 18:40:49.960927 140518490601280 collect_data.py:98] (80000/500000) steps collected at 386.8 steps/s.
I1202 18:41:17.648638 140518490601280 collect_data.py:98] (90000/500000) steps collected at 361.2 steps/s.
I1202 18:41:44.757166 140518490601280 collect_data.py:98] (100000/500000) steps collected at 368.9 steps/s.
I1202 18:42:12.010832 140518490601280 collect_data.py:98] (110000/500000) steps collected at 366.9 steps/s.
I1202 18:42:38.739349 140518490601280 collect_data.py:98] (120000/500000) steps collected at 374.1 steps/s.
I1202 18:43:05.427853 140518490601280 collect_data.py:98] (130000/500000) steps collected at 374.7 steps/s.
I1202 18:43:30.851249 140518490601280 collect_data.py:98] (140000/500000) steps collected at 393.3 steps/s.
I1202 18:43:57.896999 140518490601280 collect_data.py:98] (150000/500000) steps collected at 369.7 steps/s.
I1202 18:44:23.476712 140518490601280 collect_data.py:98] (160000/500000) steps collected at 390.9 steps/s.
I1202 18:44:49.800873 140518490601280 collect_data.py:98] (170000/500000) steps collected at 379.9 steps/s.
I1202 18:45:15.595100 140518490601280 collect_data.py:98] (180000/500000) steps collected at 387.7 steps/s.
I1202 18:45:41.672260 140518490601280 collect_data.py:98] (190000/500000) steps collected at 383.5 steps/s.
I1202 18:46:07.487048 140518490601280 collect_data.py:98] (200000/500000) steps collected at 387.4 steps/s.
I1202 18:46:34.077145 140518490601280 collect_data.py:98] (210000/500000) steps collected at 376.1 steps/s.
I1202 18:47:00.476335 140518490601280 collect_data.py:98] (220000/500000) steps collected at 378.8 steps/s.
I1202 18:47:28.317085 140518490601280 collect_data.py:98] (230000/500000) steps collected at 359.2 steps/s.
I1202 18:47:55.666826 140518490601280 collect_data.py:98] (240000/500000) steps collected at 365.6 steps/s.
I1202 18:48:22.316980 140518490601280 collect_data.py:98] (250000/500000) steps collected at 375.2 steps/s.
I1202 18:48:49.028471 140518490601280 collect_data.py:98] (260000/500000) steps collected at 374.4 steps/s.
I1202 18:49:14.962902 140518490601280 collect_data.py:98] (270000/500000) steps collected at 385.6 steps/s.
I1202 18:49:40.905214 140518490601280 collect_data.py:98] (280000/500000) steps collected at 385.5 steps/s.
I1202 18:50:06.073705 140518490601280 collect_data.py:98] (290000/500000) steps collected at 397.3 steps/s.
I1202 18:50:33.151114 140518490601280 collect_data.py:98] (300000/500000) steps collected at 369.3 steps/s.
I1202 18:50:58.037603 140518490601280 collect_data.py:98] (310000/500000) steps collected at 401.8 steps/s.
I1202 18:51:23.773190 140518490601280 collect_data.py:98] (320000/500000) steps collected at 388.6 steps/s.
I1202 18:51:50.014837 140518490601280 collect_data.py:98] (330000/500000) steps collected at 381.1 steps/s.
I1202 18:52:17.313250 140518490601280 collect_data.py:98] (340000/500000) steps collected at 366.3 steps/s.
I1202 18:52:44.570543 140518490601280 collect_data.py:98] (350000/500000) steps collected at 366.9 steps/s.
I1202 18:53:08.966202 140518490601280 collect_data.py:98] (360000/500000) steps collected at 409.9 steps/s.
I1202 18:53:37.479617 140518490601280 collect_data.py:98] (370000/500000) steps collected at 350.7 steps/s.
I1202 18:54:04.405920 140518490601280 collect_data.py:98] (380000/500000) steps collected at 371.4 steps/s.
I1202 18:54:31.750053 140518490601280 collect_data.py:98] (390000/500000) steps collected at 365.7 steps/s.
