I1202 16:37:22.499279 139752975738688 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/HalfCheetah-v2/sac/1/agent_partial_target...
I1202 16:37:22.507071 139752975738688 collect_data.py:133] Testing policy p1_ours_eps...
I1202 16:37:55.426523 139752975738688 collect_data.py:137] Return mean 3681, std 570.1.
I1202 16:37:55.426735 139752975738688 collect_data.py:138] Collecting data from policy p1_ours_eps...
I1202 16:38:21.324000 139752975738688 collect_data.py:98] (10000/500000) steps collected at 386.1 steps/s.
I1202 16:38:46.058807 139752975738688 collect_data.py:98] (20000/500000) steps collected at 404.3 steps/s.
I1202 16:39:10.902301 139752975738688 collect_data.py:98] (30000/500000) steps collected at 402.5 steps/s.
I1202 16:39:35.596645 139752975738688 collect_data.py:98] (40000/500000) steps collected at 405 steps/s.
I1202 16:40:00.343644 139752975738688 collect_data.py:98] (50000/500000) steps collected at 404.1 steps/s.
I1202 16:40:24.935119 139752975738688 collect_data.py:98] (60000/500000) steps collected at 406.6 steps/s.
I1202 16:40:49.651526 139752975738688 collect_data.py:98] (70000/500000) steps collected at 404.6 steps/s.
I1202 16:41:13.937227 139752975738688 collect_data.py:98] (80000/500000) steps collected at 411.8 steps/s.
I1202 16:41:39.001274 139752975738688 collect_data.py:98] (90000/500000) steps collected at 399 steps/s.
I1202 16:42:03.364594 139752975738688 collect_data.py:98] (100000/500000) steps collected at 410.5 steps/s.
I1202 16:42:28.571055 139752975738688 collect_data.py:98] (110000/500000) steps collected at 396.7 steps/s.
I1202 16:42:53.002710 139752975738688 collect_data.py:98] (120000/500000) steps collected at 409.3 steps/s.
I1202 16:43:17.277128 139752975738688 collect_data.py:98] (130000/500000) steps collected at 412 steps/s.
I1202 16:43:41.804623 139752975738688 collect_data.py:98] (140000/500000) steps collected at 407.7 steps/s.
I1202 16:44:07.272509 139752975738688 collect_data.py:98] (150000/500000) steps collected at 392.7 steps/s.
I1202 16:44:31.794886 139752975738688 collect_data.py:98] (160000/500000) steps collected at 407.8 steps/s.
I1202 16:44:56.195506 139752975738688 collect_data.py:98] (170000/500000) steps collected at 409.8 steps/s.
I1202 16:45:20.634777 139752975738688 collect_data.py:98] (180000/500000) steps collected at 409.2 steps/s.
I1202 16:45:46.435790 139752975738688 collect_data.py:98] (190000/500000) steps collected at 387.6 steps/s.
I1202 16:46:10.844013 139752975738688 collect_data.py:98] (200000/500000) steps collected at 409.7 steps/s.
I1202 16:46:35.313264 139752975738688 collect_data.py:98] (210000/500000) steps collected at 408.7 steps/s.
I1202 16:46:59.411591 139752975738688 collect_data.py:98] (220000/500000) steps collected at 415 steps/s.
I1202 16:47:25.862093 139752975738688 collect_data.py:98] (230000/500000) steps collected at 378.1 steps/s.
