I1202 08:20:31.245584 139953742481216 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/HalfCheetah-v2/sac/0/agent_partial_target...
I1202 08:20:31.250890 139953742481216 collect_data.py:133] Testing policy p1_ours_eps...
I1202 08:20:57.833017 139953742481216 collect_data.py:137] Return mean 3607, std 182.4.
I1202 08:20:57.833216 139953742481216 collect_data.py:138] Collecting data from policy p1_ours_eps...
I1202 08:21:19.118388 139953742481216 collect_data.py:98] (10000/500000) steps collected at 469.8 steps/s.
I1202 08:21:39.552471 139953742481216 collect_data.py:98] (20000/500000) steps collected at 489.4 steps/s.
I1202 08:21:59.834446 139953742481216 collect_data.py:98] (30000/500000) steps collected at 493 steps/s.
I1202 08:22:19.794773 139953742481216 collect_data.py:98] (40000/500000) steps collected at 501 steps/s.
I1202 08:22:40.400549 139953742481216 collect_data.py:98] (50000/500000) steps collected at 485.3 steps/s.
I1202 08:23:00.837020 139953742481216 collect_data.py:98] (60000/500000) steps collected at 489.3 steps/s.
I1202 08:23:20.928976 139953742481216 collect_data.py:98] (70000/500000) steps collected at 497.7 steps/s.
I1202 08:23:40.787044 139953742481216 collect_data.py:98] (80000/500000) steps collected at 503.6 steps/s.
I1202 08:24:01.821202 139953742481216 collect_data.py:98] (90000/500000) steps collected at 475.4 steps/s.
I1202 08:24:22.650725 139953742481216 collect_data.py:98] (100000/500000) steps collected at 480.1 steps/s.
I1202 08:24:43.301918 139953742481216 collect_data.py:98] (110000/500000) steps collected at 484.2 steps/s.
I1202 08:25:03.064938 139953742481216 collect_data.py:98] (120000/500000) steps collected at 506 steps/s.
I1202 08:25:22.206128 139953742481216 collect_data.py:98] (130000/500000) steps collected at 522.4 steps/s.
I1202 08:25:41.519362 139953742481216 collect_data.py:98] (140000/500000) steps collected at 517.8 steps/s.
I1202 08:26:02.123671 139953742481216 collect_data.py:98] (150000/500000) steps collected at 485.3 steps/s.
I1202 08:26:22.488247 139953742481216 collect_data.py:98] (160000/500000) steps collected at 491 steps/s.
I1202 08:26:42.904251 139953742481216 collect_data.py:98] (170000/500000) steps collected at 489.8 steps/s.
I1202 08:27:02.810243 139953742481216 collect_data.py:98] (180000/500000) steps collected at 502.4 steps/s.
I1202 08:27:24.203127 139953742481216 collect_data.py:98] (190000/500000) steps collected at 467.4 steps/s.
