I1202 16:36:24.563547 140433580783424 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Hopper-v2/sac/1/agent_partial_target...
I1202 16:36:24.571749 140433580783424 collect_data.py:133] Testing policy p1_ours_eps...
I1202 16:36:39.624572 140433580783424 collect_data.py:137] Return mean 1252, std 590.5.
I1202 16:36:39.624777 140433580783424 collect_data.py:138] Collecting data from policy p1_ours_eps...
I1202 16:37:06.111805 140433580783424 collect_data.py:98] (10000/500000) steps collected at 377.5 steps/s.
I1202 16:37:31.647807 140433580783424 collect_data.py:98] (20000/500000) steps collected at 391.6 steps/s.
I1202 16:37:58.117007 140433580783424 collect_data.py:98] (30000/500000) steps collected at 377.8 steps/s.
I1202 16:38:23.725524 140433580783424 collect_data.py:98] (40000/500000) steps collected at 390.5 steps/s.
I1202 16:38:49.802682 140433580783424 collect_data.py:98] (50000/500000) steps collected at 383.5 steps/s.
I1202 16:39:15.876013 140433580783424 collect_data.py:98] (60000/500000) steps collected at 383.5 steps/s.
I1202 16:39:42.022527 140433580783424 collect_data.py:98] (70000/500000) steps collected at 382.5 steps/s.
I1202 16:40:07.822049 140433580783424 collect_data.py:98] (80000/500000) steps collected at 387.6 steps/s.
I1202 16:40:34.017731 140433580783424 collect_data.py:98] (90000/500000) steps collected at 381.7 steps/s.
I1202 16:40:59.455597 140433580783424 collect_data.py:98] (100000/500000) steps collected at 393.1 steps/s.
I1202 16:41:25.180847 140433580783424 collect_data.py:98] (110000/500000) steps collected at 388.7 steps/s.
I1202 16:41:51.871104 140433580783424 collect_data.py:98] (120000/500000) steps collected at 374.7 steps/s.
I1202 16:42:17.406290 140433580783424 collect_data.py:98] (130000/500000) steps collected at 391.6 steps/s.
I1202 16:42:43.137001 140433580783424 collect_data.py:98] (140000/500000) steps collected at 388.6 steps/s.
I1202 16:43:09.810451 140433580783424 collect_data.py:98] (150000/500000) steps collected at 374.9 steps/s.
I1202 16:43:35.346183 140433580783424 collect_data.py:98] (160000/500000) steps collected at 391.6 steps/s.
I1202 16:44:00.990415 140433580783424 collect_data.py:98] (170000/500000) steps collected at 390 steps/s.
I1202 16:44:26.621500 140433580783424 collect_data.py:98] (180000/500000) steps collected at 390.2 steps/s.
I1202 16:44:53.662444 140433580783424 collect_data.py:98] (190000/500000) steps collected at 369.8 steps/s.
I1202 16:45:19.168144 140433580783424 collect_data.py:98] (200000/500000) steps collected at 392.1 steps/s.
I1202 16:45:44.664830 140433580783424 collect_data.py:98] (210000/500000) steps collected at 392.2 steps/s.
I1202 16:46:10.117241 140433580783424 collect_data.py:98] (220000/500000) steps collected at 392.9 steps/s.
I1202 16:46:35.700073 140433580783424 collect_data.py:98] (230000/500000) steps collected at 390.9 steps/s.
I1202 16:47:02.870223 140433580783424 collect_data.py:98] (240000/500000) steps collected at 368.1 steps/s.
I1202 16:47:28.585512 140433580783424 collect_data.py:98] (250000/500000) steps collected at 388.9 steps/s.
I1202 16:47:54.260247 140433580783424 collect_data.py:98] (260000/500000) steps collected at 389.5 steps/s.
I1202 16:48:19.835711 140433580783424 collect_data.py:98] (270000/500000) steps collected at 391 steps/s.
I1202 16:48:45.738407 140433580783424 collect_data.py:98] (280000/500000) steps collected at 386.1 steps/s.
I1202 16:49:11.458775 140433580783424 collect_data.py:98] (290000/500000) steps collected at 388.8 steps/s.
I1202 16:49:39.324241 140433580783424 collect_data.py:98] (300000/500000) steps collected at 358.9 steps/s.
