I1202 16:21:42.864901 139672985593664 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Hopper-v2/sac/0/agent_partial_target...
I1202 16:21:42.872066 139672985593664 collect_data.py:133] Testing policy p1_ours_eps...
I1202 16:21:52.327361 139672985593664 collect_data.py:137] Return mean 813, std 245.3.
I1202 16:21:52.327610 139672985593664 collect_data.py:138] Collecting data from policy p1_ours_eps...
I1202 16:22:16.435377 139672985593664 collect_data.py:98] (10000/500000) steps collected at 414.8 steps/s.
I1202 16:22:38.925990 139672985593664 collect_data.py:98] (20000/500000) steps collected at 444.6 steps/s.
I1202 16:23:02.504202 139672985593664 collect_data.py:98] (30000/500000) steps collected at 424.1 steps/s.
I1202 16:23:25.427007 139672985593664 collect_data.py:98] (40000/500000) steps collected at 436.2 steps/s.
I1202 16:23:47.749641 139672985593664 collect_data.py:98] (50000/500000) steps collected at 448 steps/s.
I1202 16:24:11.335993 139672985593664 collect_data.py:98] (60000/500000) steps collected at 424 steps/s.
I1202 16:24:35.102180 139672985593664 collect_data.py:98] (70000/500000) steps collected at 420.8 steps/s.
I1202 16:24:58.368570 139672985593664 collect_data.py:98] (80000/500000) steps collected at 429.8 steps/s.
I1202 16:25:22.316741 139672985593664 collect_data.py:98] (90000/500000) steps collected at 417.6 steps/s.
I1202 16:25:46.560855 139672985593664 collect_data.py:98] (100000/500000) steps collected at 412.5 steps/s.
I1202 16:26:11.606773 139672985593664 collect_data.py:98] (110000/500000) steps collected at 399.3 steps/s.
I1202 16:26:35.205711 139672985593664 collect_data.py:98] (120000/500000) steps collected at 423.7 steps/s.
I1202 16:26:59.373448 139672985593664 collect_data.py:98] (130000/500000) steps collected at 413.8 steps/s.
I1202 16:27:23.990207 139672985593664 collect_data.py:98] (140000/500000) steps collected at 406.2 steps/s.
I1202 16:27:47.708503 139672985593664 collect_data.py:98] (150000/500000) steps collected at 421.6 steps/s.
I1202 16:28:11.739527 139672985593664 collect_data.py:98] (160000/500000) steps collected at 416.1 steps/s.
I1202 16:28:35.656606 139672985593664 collect_data.py:98] (170000/500000) steps collected at 418.1 steps/s.
I1202 16:29:00.493997 139672985593664 collect_data.py:98] (180000/500000) steps collected at 402.6 steps/s.
I1202 16:29:24.793869 139672985593664 collect_data.py:98] (190000/500000) steps collected at 411.5 steps/s.
I1202 16:29:48.767045 139672985593664 collect_data.py:98] (200000/500000) steps collected at 417.1 steps/s.
I1202 16:30:13.286787 139672985593664 collect_data.py:98] (210000/500000) steps collected at 407.8 steps/s.
I1202 16:30:39.612008 139672985593664 collect_data.py:98] (220000/500000) steps collected at 379.9 steps/s.
I1202 16:31:04.332373 139672985593664 collect_data.py:98] (230000/500000) steps collected at 404.5 steps/s.
I1202 16:31:29.045338 139672985593664 collect_data.py:98] (240000/500000) steps collected at 404.6 steps/s.
I1202 16:31:53.828747 139672985593664 collect_data.py:98] (250000/500000) steps collected at 403.5 steps/s.
I1202 16:32:18.908265 139672985593664 collect_data.py:98] (260000/500000) steps collected at 398.7 steps/s.
