I1202 16:29:06.003097 140331137439552 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/HalfCheetah-v2/sac/1/agent_partial_target...
I1202 16:29:06.009660 140331137439552 collect_data.py:133] Testing policy p1_ours_gaussian...
I1202 16:29:35.937423 140331137439552 collect_data.py:137] Return mean 4760, std 101.9.
I1202 16:29:35.937640 140331137439552 collect_data.py:138] Collecting data from policy p1_ours_gaussian...
I1202 16:30:00.403696 140331137439552 collect_data.py:98] (10000/500000) steps collected at 408.7 steps/s.
I1202 16:30:24.000121 140331137439552 collect_data.py:98] (20000/500000) steps collected at 423.8 steps/s.
I1202 16:30:47.585273 140331137439552 collect_data.py:98] (30000/500000) steps collected at 424 steps/s.
I1202 16:31:11.403990 140331137439552 collect_data.py:98] (40000/500000) steps collected at 419.8 steps/s.
I1202 16:31:34.751151 140331137439552 collect_data.py:98] (50000/500000) steps collected at 428.3 steps/s.
I1202 16:31:58.644866 140331137439552 collect_data.py:98] (60000/500000) steps collected at 418.5 steps/s.
I1202 16:32:22.049969 140331137439552 collect_data.py:98] (70000/500000) steps collected at 427.3 steps/s.
I1202 16:32:46.198062 140331137439552 collect_data.py:98] (80000/500000) steps collected at 414.1 steps/s.
I1202 16:33:09.568585 140331137439552 collect_data.py:98] (90000/500000) steps collected at 427.9 steps/s.
I1202 16:33:34.090437 140331137439552 collect_data.py:98] (100000/500000) steps collected at 407.8 steps/s.
I1202 16:33:57.551810 140331137439552 collect_data.py:98] (110000/500000) steps collected at 426.2 steps/s.
I1202 16:34:21.188151 140331137439552 collect_data.py:98] (120000/500000) steps collected at 423.1 steps/s.
I1202 16:34:45.370306 140331137439552 collect_data.py:98] (130000/500000) steps collected at 413.5 steps/s.
I1202 16:35:08.731194 140331137439552 collect_data.py:98] (140000/500000) steps collected at 428.1 steps/s.
I1202 16:35:31.931978 140331137439552 collect_data.py:98] (150000/500000) steps collected at 431 steps/s.
I1202 16:35:56.691270 140331137439552 collect_data.py:98] (160000/500000) steps collected at 403.9 steps/s.
I1202 16:36:19.972374 140331137439552 collect_data.py:98] (170000/500000) steps collected at 429.5 steps/s.
I1202 16:36:43.808110 140331137439552 collect_data.py:98] (180000/500000) steps collected at 419.5 steps/s.
I1202 16:37:07.684407 140331137439552 collect_data.py:98] (190000/500000) steps collected at 418.8 steps/s.
I1202 16:37:33.166503 140331137439552 collect_data.py:98] (200000/500000) steps collected at 392.4 steps/s.
I1202 16:37:57.509476 140331137439552 collect_data.py:98] (210000/500000) steps collected at 410.8 steps/s.
I1202 16:38:21.602030 140331137439552 collect_data.py:98] (220000/500000) steps collected at 415.1 steps/s.
I1202 16:38:45.853757 140331137439552 collect_data.py:98] (230000/500000) steps collected at 412.3 steps/s.
I1202 16:39:09.914481 140331137439552 collect_data.py:98] (240000/500000) steps collected at 415.6 steps/s.
I1202 16:39:34.379963 140331137439552 collect_data.py:98] (250000/500000) steps collected at 408.7 steps/s.
I1202 16:40:00.629181 140331137439552 collect_data.py:98] (260000/500000) steps collected at 381 steps/s.
I1202 16:40:24.879248 140331137439552 collect_data.py:98] (270000/500000) steps collected at 412.4 steps/s.
I1202 16:40:49.039987 140331137439552 collect_data.py:98] (280000/500000) steps collected at 413.9 steps/s.
I1202 16:41:13.234781 140331137439552 collect_data.py:98] (290000/500000) steps collected at 413.3 steps/s.
I1202 16:41:37.511101 140331137439552 collect_data.py:98] (300000/500000) steps collected at 411.9 steps/s.
I1202 16:42:01.826559 140331137439552 collect_data.py:98] (310000/500000) steps collected at 411.3 steps/s.
I1202 16:42:26.126185 140331137439552 collect_data.py:98] (320000/500000) steps collected at 411.5 steps/s.
I1202 16:42:52.834355 140331137439552 collect_data.py:98] (330000/500000) steps collected at 374.4 steps/s.
I1202 16:43:17.278512 140331137439552 collect_data.py:98] (340000/500000) steps collected at 409.1 steps/s.
I1202 16:43:41.730921 140331137439552 collect_data.py:98] (350000/500000) steps collected at 409 steps/s.
I1202 16:44:05.977779 140331137439552 collect_data.py:98] (360000/500000) steps collected at 412.4 steps/s.
I1202 16:44:30.026127 140331137439552 collect_data.py:98] (370000/500000) steps collected at 415.8 steps/s.
I1202 16:44:54.199187 140331137439552 collect_data.py:98] (380000/500000) steps collected at 413.7 steps/s.
I1202 16:45:18.370367 140331137439552 collect_data.py:98] (390000/500000) steps collected at 413.7 steps/s.
I1202 16:45:42.701381 140331137439552 collect_data.py:98] (400000/500000) steps collected at 411 steps/s.
