I1202 16:24:33.475020 139851205355328 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Hopper-v2/sac/0/agent_partial_target...
I1202 16:24:33.481052 139851205355328 collect_data.py:133] Testing policy p1_ours_gaussian...
I1202 16:24:43.731439 139851205355328 collect_data.py:137] Return mean 952.9, std 493.6.
I1202 16:24:43.731633 139851205355328 collect_data.py:138] Collecting data from policy p1_ours_gaussian...
I1202 16:25:08.197351 139851205355328 collect_data.py:98] (10000/500000) steps collected at 408.7 steps/s.
I1202 16:25:31.902286 139851205355328 collect_data.py:98] (20000/500000) steps collected at 421.9 steps/s.
I1202 16:25:55.860143 139851205355328 collect_data.py:98] (30000/500000) steps collected at 417.4 steps/s.
I1202 16:26:19.511938 139851205355328 collect_data.py:98] (40000/500000) steps collected at 422.8 steps/s.
I1202 16:26:43.089552 139851205355328 collect_data.py:98] (50000/500000) steps collected at 424.1 steps/s.
I1202 16:27:06.499489 139851205355328 collect_data.py:98] (60000/500000) steps collected at 427.2 steps/s.
I1202 16:27:30.335270 139851205355328 collect_data.py:98] (70000/500000) steps collected at 419.5 steps/s.
I1202 16:27:54.804630 139851205355328 collect_data.py:98] (80000/500000) steps collected at 408.7 steps/s.
I1202 16:28:18.775800 139851205355328 collect_data.py:98] (90000/500000) steps collected at 417.2 steps/s.
I1202 16:28:42.541752 139851205355328 collect_data.py:98] (100000/500000) steps collected at 420.8 steps/s.
I1202 16:29:07.382062 139851205355328 collect_data.py:98] (110000/500000) steps collected at 402.6 steps/s.
I1202 16:29:31.003618 139851205355328 collect_data.py:98] (120000/500000) steps collected at 423.3 steps/s.
I1202 16:29:56.143697 139851205355328 collect_data.py:98] (130000/500000) steps collected at 397.8 steps/s.
I1202 16:30:20.307582 139851205355328 collect_data.py:98] (140000/500000) steps collected at 413.8 steps/s.
I1202 16:30:44.689550 139851205355328 collect_data.py:98] (150000/500000) steps collected at 410.1 steps/s.
I1202 16:31:09.013013 139851205355328 collect_data.py:98] (160000/500000) steps collected at 411.1 steps/s.
I1202 16:31:35.076976 139851205355328 collect_data.py:98] (170000/500000) steps collected at 383.7 steps/s.
I1202 16:31:59.637259 139851205355328 collect_data.py:98] (180000/500000) steps collected at 407.2 steps/s.
I1202 16:32:24.003217 139851205355328 collect_data.py:98] (190000/500000) steps collected at 410.4 steps/s.
I1202 16:32:48.397567 139851205355328 collect_data.py:98] (200000/500000) steps collected at 409.9 steps/s.
I1202 16:33:14.289243 139851205355328 collect_data.py:98] (210000/500000) steps collected at 386.2 steps/s.
I1202 16:33:38.627003 139851205355328 collect_data.py:98] (220000/500000) steps collected at 410.9 steps/s.
I1202 16:34:03.097043 139851205355328 collect_data.py:98] (230000/500000) steps collected at 408.7 steps/s.
I1202 16:34:27.683753 139851205355328 collect_data.py:98] (240000/500000) steps collected at 406.7 steps/s.
I1202 16:34:52.184565 139851205355328 collect_data.py:98] (250000/500000) steps collected at 408.1 steps/s.
I1202 16:35:18.472435 139851205355328 collect_data.py:98] (260000/500000) steps collected at 380.4 steps/s.
