I1202 16:25:19.146566 140178953561920 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Walker2d-v2/sac/0/agent_partial_target...
I1202 16:25:19.152723 140178953561920 collect_data.py:133] Testing policy p1_ours_gaussian...
I1202 16:25:35.375949 140178953561920 collect_data.py:137] Return mean 1604, std 998.8.
I1202 16:25:35.376156 140178953561920 collect_data.py:138] Collecting data from policy p1_ours_gaussian...
I1202 16:26:00.783757 140178953561920 collect_data.py:98] (10000/500000) steps collected at 393.6 steps/s.
I1202 16:26:25.269847 140178953561920 collect_data.py:98] (20000/500000) steps collected at 408.4 steps/s.
I1202 16:26:49.676900 140178953561920 collect_data.py:98] (30000/500000) steps collected at 409.7 steps/s.
I1202 16:27:13.949163 140178953561920 collect_data.py:98] (40000/500000) steps collected at 412 steps/s.
I1202 16:27:38.743719 140178953561920 collect_data.py:98] (50000/500000) steps collected at 403.3 steps/s.
I1202 16:28:03.219878 140178953561920 collect_data.py:98] (60000/500000) steps collected at 408.6 steps/s.
I1202 16:28:27.091850 140178953561920 collect_data.py:98] (70000/500000) steps collected at 418.9 steps/s.
I1202 16:28:52.352183 140178953561920 collect_data.py:98] (80000/500000) steps collected at 395.9 steps/s.
I1202 16:29:16.781457 140178953561920 collect_data.py:98] (90000/500000) steps collected at 409.3 steps/s.
I1202 16:29:42.380392 140178953561920 collect_data.py:98] (100000/500000) steps collected at 390.6 steps/s.
I1202 16:30:06.523883 140178953561920 collect_data.py:98] (110000/500000) steps collected at 414.2 steps/s.
I1202 16:30:31.037233 140178953561920 collect_data.py:98] (120000/500000) steps collected at 407.9 steps/s.
I1202 16:30:56.837591 140178953561920 collect_data.py:98] (130000/500000) steps collected at 387.6 steps/s.
I1202 16:31:21.973181 140178953561920 collect_data.py:98] (140000/500000) steps collected at 397.8 steps/s.
I1202 16:31:47.187932 140178953561920 collect_data.py:98] (150000/500000) steps collected at 396.6 steps/s.
I1202 16:32:12.213276 140178953561920 collect_data.py:98] (160000/500000) steps collected at 399.6 steps/s.
I1202 16:32:38.302904 140178953561920 collect_data.py:98] (170000/500000) steps collected at 383.3 steps/s.
I1202 16:33:03.293087 140178953561920 collect_data.py:98] (180000/500000) steps collected at 400.2 steps/s.
I1202 16:33:28.327359 140178953561920 collect_data.py:98] (190000/500000) steps collected at 399.5 steps/s.
I1202 16:33:53.425994 140178953561920 collect_data.py:98] (200000/500000) steps collected at 398.4 steps/s.
I1202 16:34:19.905533 140178953561920 collect_data.py:98] (210000/500000) steps collected at 377.7 steps/s.
I1202 16:34:44.698073 140178953561920 collect_data.py:98] (220000/500000) steps collected at 403.3 steps/s.
I1202 16:35:09.841182 140178953561920 collect_data.py:98] (230000/500000) steps collected at 397.7 steps/s.
I1202 16:35:34.767336 140178953561920 collect_data.py:98] (240000/500000) steps collected at 401.2 steps/s.
I1202 16:35:59.627601 140178953561920 collect_data.py:98] (250000/500000) steps collected at 402.2 steps/s.
I1202 16:36:26.528765 140178953561920 collect_data.py:98] (260000/500000) steps collected at 371.7 steps/s.
I1202 16:36:52.352925 140178953561920 collect_data.py:98] (270000/500000) steps collected at 387.2 steps/s.
I1202 16:37:17.395639 140178953561920 collect_data.py:98] (280000/500000) steps collected at 399.3 steps/s.
