I1202 16:11:17.970849 140159110891328 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/HalfCheetah-v2/sac/1/agent_partial_target...
I1202 16:11:17.976177 140159110891328 collect_data.py:133] Testing policy p1_ours_pure...
I1202 16:11:42.342807 140159110891328 collect_data.py:137] Return mean 5101, std 72.03.
I1202 16:11:42.343011 140159110891328 collect_data.py:138] Collecting data from policy p1_ours_pure...
I1202 16:12:02.195653 140159110891328 collect_data.py:98] (10000/500000) steps collected at 503.7 steps/s.
I1202 16:12:21.263683 140159110891328 collect_data.py:98] (20000/500000) steps collected at 524.4 steps/s.
I1202 16:12:40.106331 140159110891328 collect_data.py:98] (30000/500000) steps collected at 530.7 steps/s.
I1202 16:12:59.081896 140159110891328 collect_data.py:98] (40000/500000) steps collected at 527 steps/s.
I1202 16:13:17.825020 140159110891328 collect_data.py:98] (50000/500000) steps collected at 533.5 steps/s.
I1202 16:13:37.015185 140159110891328 collect_data.py:98] (60000/500000) steps collected at 521.1 steps/s.
I1202 16:13:55.672251 140159110891328 collect_data.py:98] (70000/500000) steps collected at 536 steps/s.
I1202 16:14:14.868614 140159110891328 collect_data.py:98] (80000/500000) steps collected at 520.9 steps/s.
I1202 16:14:33.632047 140159110891328 collect_data.py:98] (90000/500000) steps collected at 533 steps/s.
I1202 16:14:52.967447 140159110891328 collect_data.py:98] (100000/500000) steps collected at 517.2 steps/s.
I1202 16:15:11.759804 140159110891328 collect_data.py:98] (110000/500000) steps collected at 532.1 steps/s.
I1202 16:15:30.630478 140159110891328 collect_data.py:98] (120000/500000) steps collected at 529.9 steps/s.
I1202 16:15:49.984517 140159110891328 collect_data.py:98] (130000/500000) steps collected at 516.7 steps/s.
I1202 16:16:09.071025 140159110891328 collect_data.py:98] (140000/500000) steps collected at 523.9 steps/s.
I1202 16:16:28.442328 140159110891328 collect_data.py:98] (150000/500000) steps collected at 516.2 steps/s.
I1202 16:16:48.917324 140159110891328 collect_data.py:98] (160000/500000) steps collected at 488.4 steps/s.
I1202 16:17:08.485843 140159110891328 collect_data.py:98] (170000/500000) steps collected at 511 steps/s.
I1202 16:17:27.646481 140159110891328 collect_data.py:98] (180000/500000) steps collected at 521.9 steps/s.
I1202 16:17:47.199943 140159110891328 collect_data.py:98] (190000/500000) steps collected at 511.4 steps/s.
