I1202 08:17:02.219478 140668830349120 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/HalfCheetah-v2/sac/0/agent_partial_target...
I1202 08:17:02.224924 140668830349120 collect_data.py:133] Testing policy p1_ours_pure...
I1202 08:17:27.555983 140668830349120 collect_data.py:137] Return mean 4338, std 134.4.
I1202 08:17:27.556161 140668830349120 collect_data.py:138] Collecting data from policy p1_ours_pure...
I1202 08:17:48.198687 140668830349120 collect_data.py:98] (10000/500000) steps collected at 484.4 steps/s.
I1202 08:18:07.590525 140668830349120 collect_data.py:98] (20000/500000) steps collected at 515.7 steps/s.
I1202 08:18:26.489585 140668830349120 collect_data.py:98] (30000/500000) steps collected at 529.1 steps/s.
I1202 08:18:45.768311 140668830349120 collect_data.py:98] (40000/500000) steps collected at 518.7 steps/s.
I1202 08:19:05.634097 140668830349120 collect_data.py:98] (50000/500000) steps collected at 503.4 steps/s.
I1202 08:19:25.314736 140668830349120 collect_data.py:98] (60000/500000) steps collected at 508.1 steps/s.
I1202 08:19:44.610066 140668830349120 collect_data.py:98] (70000/500000) steps collected at 518.3 steps/s.
I1202 08:20:04.596446 140668830349120 collect_data.py:98] (80000/500000) steps collected at 500.3 steps/s.
I1202 08:20:23.480663 140668830349120 collect_data.py:98] (90000/500000) steps collected at 529.5 steps/s.
I1202 08:20:43.756430 140668830349120 collect_data.py:98] (100000/500000) steps collected at 493.2 steps/s.
I1202 08:21:03.063978 140668830349120 collect_data.py:98] (110000/500000) steps collected at 517.9 steps/s.
I1202 08:21:22.395178 140668830349120 collect_data.py:98] (120000/500000) steps collected at 517.3 steps/s.
I1202 08:21:42.273351 140668830349120 collect_data.py:98] (130000/500000) steps collected at 503.1 steps/s.
I1202 08:22:01.833425 140668830349120 collect_data.py:98] (140000/500000) steps collected at 511.2 steps/s.
I1202 08:22:22.086751 140668830349120 collect_data.py:98] (150000/500000) steps collected at 493.7 steps/s.
I1202 08:22:42.938455 140668830349120 collect_data.py:98] (160000/500000) steps collected at 479.6 steps/s.
I1202 08:23:02.517697 140668830349120 collect_data.py:98] (170000/500000) steps collected at 510.7 steps/s.
I1202 08:23:22.535254 140668830349120 collect_data.py:98] (180000/500000) steps collected at 499.6 steps/s.
