I1202 16:19:08.947607 140282259846976 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Hopper-v2/sac/1/agent_partial_target...
I1202 16:19:08.952932 140282259846976 collect_data.py:133] Testing policy p1_ours_pure...
I1202 16:19:32.663550 140282259846976 collect_data.py:137] Return mean 2680, std 706.2.
I1202 16:19:32.663764 140282259846976 collect_data.py:138] Collecting data from policy p1_ours_pure...
I1202 16:19:55.914004 140282259846976 collect_data.py:98] (10000/500000) steps collected at 430.1 steps/s.
I1202 16:20:17.936756 140282259846976 collect_data.py:98] (20000/500000) steps collected at 454.1 steps/s.
I1202 16:20:40.805778 140282259846976 collect_data.py:98] (30000/500000) steps collected at 437.3 steps/s.
I1202 16:21:02.951628 140282259846976 collect_data.py:98] (40000/500000) steps collected at 451.6 steps/s.
I1202 16:21:25.712668 140282259846976 collect_data.py:98] (50000/500000) steps collected at 439.3 steps/s.
I1202 16:21:49.300622 140282259846976 collect_data.py:98] (60000/500000) steps collected at 423.9 steps/s.
I1202 16:22:12.494914 140282259846976 collect_data.py:98] (70000/500000) steps collected at 431.1 steps/s.
I1202 16:22:36.229715 140282259846976 collect_data.py:98] (80000/500000) steps collected at 421.3 steps/s.
I1202 16:22:59.208886 140282259846976 collect_data.py:98] (90000/500000) steps collected at 435.2 steps/s.
I1202 16:23:23.686049 140282259846976 collect_data.py:98] (100000/500000) steps collected at 408.5 steps/s.
I1202 16:23:47.052972 140282259846976 collect_data.py:98] (110000/500000) steps collected at 428 steps/s.
I1202 16:24:10.636980 140282259846976 collect_data.py:98] (120000/500000) steps collected at 424 steps/s.
I1202 16:24:35.420005 140282259846976 collect_data.py:98] (130000/500000) steps collected at 403.5 steps/s.
I1202 16:24:58.642304 140282259846976 collect_data.py:98] (140000/500000) steps collected at 430.6 steps/s.
I1202 16:25:21.926599 140282259846976 collect_data.py:98] (150000/500000) steps collected at 429.5 steps/s.
I1202 16:25:47.208933 140282259846976 collect_data.py:98] (160000/500000) steps collected at 395.5 steps/s.
I1202 16:26:11.155626 140282259846976 collect_data.py:98] (170000/500000) steps collected at 417.6 steps/s.
I1202 16:26:35.112957 140282259846976 collect_data.py:98] (180000/500000) steps collected at 417.4 steps/s.
I1202 16:26:59.383194 140282259846976 collect_data.py:98] (190000/500000) steps collected at 412 steps/s.
I1202 16:27:23.523198 140282259846976 collect_data.py:98] (200000/500000) steps collected at 414.3 steps/s.
I1202 16:27:48.968572 140282259846976 collect_data.py:98] (210000/500000) steps collected at 393 steps/s.
I1202 16:28:12.856821 140282259846976 collect_data.py:98] (220000/500000) steps collected at 418.6 steps/s.
I1202 16:28:37.219265 140282259846976 collect_data.py:98] (230000/500000) steps collected at 410.5 steps/s.
I1202 16:29:01.097565 140282259846976 collect_data.py:98] (240000/500000) steps collected at 418.8 steps/s.
I1202 16:29:25.511546 140282259846976 collect_data.py:98] (250000/500000) steps collected at 409.6 steps/s.
I1202 16:29:52.109687 140282259846976 collect_data.py:98] (260000/500000) steps collected at 376 steps/s.
I1202 16:30:16.600877 140282259846976 collect_data.py:98] (270000/500000) steps collected at 408.3 steps/s.
I1202 16:30:41.015784 140282259846976 collect_data.py:98] (280000/500000) steps collected at 409.6 steps/s.
I1202 16:31:05.840173 140282259846976 collect_data.py:98] (290000/500000) steps collected at 402.8 steps/s.
I1202 16:31:30.535943 140282259846976 collect_data.py:98] (300000/500000) steps collected at 404.9 steps/s.
I1202 16:31:55.265008 140282259846976 collect_data.py:98] (310000/500000) steps collected at 404.4 steps/s.
I1202 16:32:19.972270 140282259846976 collect_data.py:98] (320000/500000) steps collected at 404.7 steps/s.
I1202 16:32:47.303714 140282259846976 collect_data.py:98] (330000/500000) steps collected at 365.9 steps/s.
I1202 16:33:12.063540 140282259846976 collect_data.py:98] (340000/500000) steps collected at 403.9 steps/s.
I1202 16:33:36.969445 140282259846976 collect_data.py:98] (350000/500000) steps collected at 401.5 steps/s.
I1202 16:34:01.721064 140282259846976 collect_data.py:98] (360000/500000) steps collected at 404 steps/s.
I1202 16:34:26.560550 140282259846976 collect_data.py:98] (370000/500000) steps collected at 402.6 steps/s.
I1202 16:34:51.341415 140282259846976 collect_data.py:98] (380000/500000) steps collected at 403.5 steps/s.
I1202 16:35:15.924656 140282259846976 collect_data.py:98] (390000/500000) steps collected at 406.8 steps/s.
I1202 16:35:40.755162 140282259846976 collect_data.py:98] (400000/500000) steps collected at 402.7 steps/s.
I1202 16:36:08.524728 140282259846976 collect_data.py:98] (410000/500000) steps collected at 360.1 steps/s.
I1202 16:36:33.632961 140282259846976 collect_data.py:98] (420000/500000) steps collected at 398.3 steps/s.
I1202 16:36:58.780231 140282259846976 collect_data.py:98] (430000/500000) steps collected at 397.7 steps/s.
I1202 16:37:23.886787 140282259846976 collect_data.py:98] (440000/500000) steps collected at 398.3 steps/s.
I1202 16:37:49.348479 140282259846976 collect_data.py:98] (450000/500000) steps collected at 392.7 steps/s.
I1202 16:38:14.843725 140282259846976 collect_data.py:98] (460000/500000) steps collected at 392.2 steps/s.
I1202 16:38:40.166804 140282259846976 collect_data.py:98] (470000/500000) steps collected at 394.9 steps/s.
I1202 16:39:05.495473 140282259846976 collect_data.py:98] (480000/500000) steps collected at 394.8 steps/s.
I1202 16:39:31.064509 140282259846976 collect_data.py:98] (490000/500000) steps collected at 391.1 steps/s.
I1202 16:39:56.615367 140282259846976 collect_data.py:98] (500000/500000) steps collected at 391.4 steps/s.
I1202 16:39:56.617632 140282259846976 policy_loader.py:78] Loading policy from /data1/yrli/behavior_regularized_offline_rl/brac/configs/../../trained_policies/Hopper-v2/agent_partial_target...
I1202 16:39:56.631737 140282259846976 collect_data.py:133] Testing policy p1_ours_pure...
I1202 16:40:09.013081 140282259846976 collect_data.py:137] Return mean 1229, std 536.6.
I1202 16:40:09.013305 140282259846976 collect_data.py:138] Collecting data from policy p1_ours_pure...
I1202 16:40:38.531065 140282259846976 collect_data.py:98] (10000/500000) steps collected at 338.8 steps/s.
I1202 16:41:04.286446 140282259846976 collect_data.py:98] (20000/500000) steps collected at 388.3 steps/s.
I1202 16:41:29.837519 140282259846976 collect_data.py:98] (30000/500000) steps collected at 391.4 steps/s.
I1202 16:41:55.562887 140282259846976 collect_data.py:98] (40000/500000) steps collected at 388.7 steps/s.
I1202 16:42:21.260893 140282259846976 collect_data.py:98] (50000/500000) steps collected at 389.1 steps/s.
I1202 16:42:46.801808 140282259846976 collect_data.py:98] (60000/500000) steps collected at 391.5 steps/s.
I1202 16:43:12.401017 140282259846976 collect_data.py:98] (70000/500000) steps collected at 390.6 steps/s.
I1202 16:43:37.871328 140282259846976 collect_data.py:98] (80000/500000) steps collected at 392.6 steps/s.
I1202 16:44:03.565877 140282259846976 collect_data.py:98] (90000/500000) steps collected at 389.2 steps/s.
I1202 16:44:29.174441 140282259846976 collect_data.py:98] (100000/500000) steps collected at 390.5 steps/s.
I1202 16:44:54.919648 140282259846976 collect_data.py:98] (110000/500000) steps collected at 388.4 steps/s.
I1202 16:45:20.526541 140282259846976 collect_data.py:98] (120000/500000) steps collected at 390.5 steps/s.
I1202 16:45:46.190338 140282259846976 collect_data.py:98] (130000/500000) steps collected at 389.7 steps/s.
I1202 16:46:16.220888 140282259846976 collect_data.py:98] (140000/500000) steps collected at 333 steps/s.
I1202 16:46:41.954708 140282259846976 collect_data.py:98] (150000/500000) steps collected at 388.6 steps/s.
I1202 16:47:07.614405 140282259846976 collect_data.py:98] (160000/500000) steps collected at 389.7 steps/s.
I1202 16:47:33.338673 140282259846976 collect_data.py:98] (170000/500000) steps collected at 388.7 steps/s.
I1202 16:47:58.933867 140282259846976 collect_data.py:98] (180000/500000) steps collected at 390.7 steps/s.
I1202 16:48:24.776043 140282259846976 collect_data.py:98] (190000/500000) steps collected at 387 steps/s.
I1202 16:48:50.446732 140282259846976 collect_data.py:98] (200000/500000) steps collected at 389.5 steps/s.
I1202 16:49:16.128739 140282259846976 collect_data.py:98] (210000/500000) steps collected at 389.4 steps/s.
I1202 16:49:41.794240 140282259846976 collect_data.py:98] (220000/500000) steps collected at 389.6 steps/s.
I1202 16:50:07.286809 140282259846976 collect_data.py:98] (230000/500000) steps collected at 392.3 steps/s.
I1202 16:50:32.509411 140282259846976 collect_data.py:98] (240000/500000) steps collected at 396.5 steps/s.
I1202 16:50:57.717142 140282259846976 collect_data.py:98] (250000/500000) steps collected at 396.7 steps/s.
I1202 16:51:22.720891 140282259846976 collect_data.py:98] (260000/500000) steps collected at 399.9 steps/s.
I1202 16:51:48.060895 140282259846976 collect_data.py:98] (270000/500000) steps collected at 394.6 steps/s.
I1202 16:52:13.190232 140282259846976 collect_data.py:98] (280000/500000) steps collected at 397.9 steps/s.
I1202 16:52:38.615728 140282259846976 collect_data.py:98] (290000/500000) steps collected at 393.3 steps/s.
I1202 16:53:03.749329 140282259846976 collect_data.py:98] (300000/500000) steps collected at 397.9 steps/s.
I1202 16:53:34.657594 140282259846976 collect_data.py:98] (310000/500000) steps collected at 323.5 steps/s.
I1202 16:53:59.743578 140282259846976 collect_data.py:98] (320000/500000) steps collected at 398.6 steps/s.
I1202 16:54:25.025873 140282259846976 collect_data.py:98] (330000/500000) steps collected at 395.5 steps/s.
I1202 16:54:50.032470 140282259846976 collect_data.py:98] (340000/500000) steps collected at 399.9 steps/s.
I1202 16:55:15.079663 140282259846976 collect_data.py:98] (350000/500000) steps collected at 399.2 steps/s.
I1202 16:55:40.203882 140282259846976 collect_data.py:98] (360000/500000) steps collected at 398 steps/s.
I1202 16:56:05.404305 140282259846976 collect_data.py:98] (370000/500000) steps collected at 396.8 steps/s.
I1202 16:56:30.621072 140282259846976 collect_data.py:98] (380000/500000) steps collected at 396.6 steps/s.
I1202 16:56:55.790329 140282259846976 collect_data.py:98] (390000/500000) steps collected at 397.3 steps/s.
I1202 16:57:20.737149 140282259846976 collect_data.py:98] (400000/500000) steps collected at 400.9 steps/s.
I1202 16:57:45.941308 140282259846976 collect_data.py:98] (410000/500000) steps collected at 396.8 steps/s.
I1202 16:58:10.926233 140282259846976 collect_data.py:98] (420000/500000) steps collected at 400.2 steps/s.
I1202 16:58:36.049813 140282259846976 collect_data.py:98] (430000/500000) steps collected at 398 steps/s.
I1202 16:59:01.161608 140282259846976 collect_data.py:98] (440000/500000) steps collected at 398.2 steps/s.
I1202 16:59:26.382306 140282259846976 collect_data.py:98] (450000/500000) steps collected at 396.5 steps/s.
I1202 16:59:51.433647 140282259846976 collect_data.py:98] (460000/500000) steps collected at 399.2 steps/s.
I1202 17:00:16.417244 140282259846976 collect_data.py:98] (470000/500000) steps collected at 400.3 steps/s.
I1202 17:00:41.382569 140282259846976 collect_data.py:98] (480000/500000) steps collected at 400.6 steps/s.
I1202 17:01:06.042341 140282259846976 collect_data.py:98] (490000/500000) steps collected at 405.5 steps/s.
I1202 17:01:30.992563 140282259846976 collect_data.py:98] (500000/500000) steps collected at 400.8 steps/s.
I1202 17:01:31.740327 140282259846976 collect_data.py:147] Finished: 1000000 transitions collected, saved at /data1/yrli/tmp/offlinerl/data/Hopper-v2/pure_two_policies1/1/data, time cost 2543s.
action_shape: [3]
