I1202 16:17:35.068276 139631277811520 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Walker2d-v2/sac/1/agent_partial_target...
I1202 16:17:35.073660 139631277811520 collect_data.py:133] Testing policy p1_ours_pure...
I1202 16:17:49.382296 139631277811520 collect_data.py:137] Return mean 1632, std 938.9.
I1202 16:17:49.382470 139631277811520 collect_data.py:138] Collecting data from policy p1_ours_pure...
I1202 16:18:12.078498 139631277811520 collect_data.py:98] (10000/500000) steps collected at 440.6 steps/s.
I1202 16:18:33.030025 139631277811520 collect_data.py:98] (20000/500000) steps collected at 477.3 steps/s.
I1202 16:18:54.963306 139631277811520 collect_data.py:98] (30000/500000) steps collected at 455.9 steps/s.
I1202 16:19:16.749285 139631277811520 collect_data.py:98] (40000/500000) steps collected at 459 steps/s.
I1202 16:19:39.675982 139631277811520 collect_data.py:98] (50000/500000) steps collected at 436.2 steps/s.
I1202 16:20:02.787974 139631277811520 collect_data.py:98] (60000/500000) steps collected at 432.7 steps/s.
I1202 16:20:24.982214 139631277811520 collect_data.py:98] (70000/500000) steps collected at 450.6 steps/s.
I1202 16:20:47.960682 139631277811520 collect_data.py:98] (80000/500000) steps collected at 435.2 steps/s.
I1202 16:21:08.805994 139631277811520 collect_data.py:98] (90000/500000) steps collected at 479.7 steps/s.
I1202 16:21:32.502540 139631277811520 collect_data.py:98] (100000/500000) steps collected at 422 steps/s.
I1202 16:21:55.723519 139631277811520 collect_data.py:98] (110000/500000) steps collected at 430.6 steps/s.
I1202 16:22:18.618044 139631277811520 collect_data.py:98] (120000/500000) steps collected at 436.8 steps/s.
I1202 16:22:42.827943 139631277811520 collect_data.py:98] (130000/500000) steps collected at 413.1 steps/s.
I1202 16:23:05.400840 139631277811520 collect_data.py:98] (140000/500000) steps collected at 443 steps/s.
I1202 16:23:28.941747 139631277811520 collect_data.py:98] (150000/500000) steps collected at 424.8 steps/s.
I1202 16:23:52.679114 139631277811520 collect_data.py:98] (160000/500000) steps collected at 421.3 steps/s.
