I1202 20:14:37.206972 139623388211008 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Walker2d-v2/sac/0/agent_partial_target...
I1202 20:14:37.212988 139623388211008 collect_data.py:133] Testing policy p1_ours_pure...
I1202 20:14:51.236145 139623388211008 collect_data.py:137] Return mean 1632, std 1192.
I1202 20:14:51.236326 139623388211008 collect_data.py:138] Collecting data from policy p1_ours_pure...
I1202 20:15:13.017393 139623388211008 collect_data.py:98] (10000/500000) steps collected at 459.1 steps/s.
I1202 20:15:34.028691 139623388211008 collect_data.py:98] (20000/500000) steps collected at 475.9 steps/s.
I1202 20:15:54.670067 139623388211008 collect_data.py:98] (30000/500000) steps collected at 484.5 steps/s.
I1202 20:16:15.558371 139623388211008 collect_data.py:98] (40000/500000) steps collected at 478.7 steps/s.
I1202 20:16:36.738357 139623388211008 collect_data.py:98] (50000/500000) steps collected at 472.1 steps/s.
I1202 20:16:58.015024 139623388211008 collect_data.py:98] (60000/500000) steps collected at 470 steps/s.
I1202 20:17:18.478774 139623388211008 collect_data.py:98] (70000/500000) steps collected at 488.7 steps/s.
I1202 20:17:39.724777 139623388211008 collect_data.py:98] (80000/500000) steps collected at 470.7 steps/s.
I1202 20:18:00.110792 139623388211008 collect_data.py:98] (90000/500000) steps collected at 490.5 steps/s.
I1202 20:18:21.238674 139623388211008 collect_data.py:98] (100000/500000) steps collected at 473.3 steps/s.
I1202 20:18:41.621583 139623388211008 collect_data.py:98] (110000/500000) steps collected at 490.6 steps/s.
I1202 20:19:02.036971 139623388211008 collect_data.py:98] (120000/500000) steps collected at 489.8 steps/s.
I1202 20:19:23.272343 139623388211008 collect_data.py:98] (130000/500000) steps collected at 470.9 steps/s.
I1202 20:19:43.650258 139623388211008 collect_data.py:98] (140000/500000) steps collected at 490.7 steps/s.
I1202 20:20:04.079352 139623388211008 collect_data.py:98] (150000/500000) steps collected at 489.5 steps/s.
I1202 20:20:24.870879 139623388211008 collect_data.py:98] (160000/500000) steps collected at 481 steps/s.
